Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.8,-0.03,0,0,0.33,0
3.8,0,0,0,0.33,0
3.8,-0.02,0,0,0.33,0
3.8,0.02,0,0,0.33,0
3.8,-0.01,0,0,0.33,0
3.8,0.01,0,0,0.33,0
3.8,-0.01,0,0,0.33,0
3.8,0.01,0,0,0.33,0
3.8,-0.01,0.33,0,0.33,0
3.79,0.01,0.33,0,0.33,0
3.79,0,0.33,0,0.33,0
3.79,-0.03,0.33,0,0.33,0
3.79,0,0.33,0,0.33,0
3.79,-0.01,0.33,0,0.33,0
3.79,-0.02,0.33,0,0.33,0
3.79,0,0.33,0,0.33,0
3.79,0,0.33,0,0.33,0
3.79,0,0.16,0,0.33,0
3.74,-0.03,0.16,0,0.33,0
3.74,0,0.16,0,0.33,0
3.74,-0.01,0.16,0,0.33,0
3.74,0.02,0.16,0,0.33,0
3.74,-0.01,0.16,0,0.33,0
3.74,-0.01,0.16,0,0.33,0
3.74,-0.01,0.16,0,0.33,0
3.74,0,0.16,0,0.33,0
3.74,0,0.11,0,0.33,0
3.77,0.02,0.11,0,0.33,0
3.77,0.02,0.11,0,0.33,0
3.77,0,0.11,0,0.33,0
3.77,0,0.11,0,0.33,0
3.77,0.02,0.11,0,0.33,0
3.77,-0.02,0.11,0,0.33,0
3.77,0,0.11,0,0.33,0
3.77,0.01,0.11,0,0.33,0
3.77,0.01,0.08,0,0.33,0
3.67,0.02,0.08,0,0.33,0
3.67,0,0.08,0,0.33,0
3.67,0.01,0.08,0,0.33,0
3.67,0.02,0.08,0,0.33,0
3.67,0.02,0.08,0,0.33,0
3.67,0.02,0.08,0,0.33,0
3.67,0,0.08,0,0.33,0
3.67,0,0.07,1.83,0.33,0.06
3.73,0.02,0.07,1.29,0.33,0.09
3.73,0.02,0.07,1.34,0.33,0.09
3.73,0.01,0.07,1.89,0.33,0.06
3.73,0,0.07,1.84,0.33,0.06
3.73,-0.01,0.07,2.43,0.33,0.02
3.73,0,0.1,2.23,0.49,0.04
3.73,-0.03,0.1,3.63,0.49,39.83
3.73,0,0.1,3.5,0.49,40.23
3.73,0,0.08,3.21,0.49,40.23
1.22,0.02,0.11,5.45,0.66,40.23
1.22,0.01,0.46,169.63,2.79,34.84
1.22,3.4,2.65,184.64,15.9,24.62
1.22,4.87,4.04,176.5,24.26,21.71
1.22,7.06,5,168.49,30,20.82
1.22,9.01,5.66,173.13,33.93,21.23
1.22,11.52,7.4,174.85,44.43,20.39
1.22,13.94,8.77,170.99,52.62,21.16
1.22,16.81,8.36,166.68,58.52,20.55
0.3,19.77,9.41,170.83,65.9,21.01
0.3,21.95,10.68,158.86,74.75,20.76
0.3,24.39,11.8,174.11,82.62,20.58
0.3,26.43,12.55,177.63,87.87,20.93
0.3,28.53,13.96,178.05,97.7,20.16
0.3,30.12,15.08,171.95,105.57,20.75
0.3,31.83,16.02,175.68,112.13,20.65
0.3,33.27,17.03,171.99,119.18,20.68
0.3,34.8,16.07,170.34,128.52,20.93
0.1,35.97,16.8,169.2,134.43,20.88
0.1,37.24,17.79,171.5,142.3,21.11
0.1,38.44,18.98,176.13,151.8,20.52
0.1,39.36,19.82,170.74,158.52,20.67
0.1,40.43,20.72,167.01,165.74,21.09
0.1,41.28,21.68,175.08,173.44,20.92
0.1,42.24,22.83,174.63,182.62,20.46
0.1,42.91,23.63,174.68,189.02,20.75
0.1,43.54,21.89,165.44,197.05,20.66
0.03,44,22.79,172.49,205.08,21.1
0.03,44.44,23.72,173.54,213.44,20.7
0.03,44.76,24.46,175.56,220.16,20.68
0.03,45.04,25.34,174.95,228.03,20.91
0.03,45.23,26.27,169.04,236.39,20.76
0.03,45.35,26.92,170.04,242.3,21.09
0.03,45.38,27.92,177.31,251.31,20.83
0.03,45.3,28.91,170.41,260.16,20.7
0.03,45.15,29.98,170.26,269.84,20.71
0.03,44.82,27.64,172.16,276.39,20.71
0.03,44.38,28.33,172.24,283.28,20.29
0.03,43.93,28.87,176.78,288.69,20.9
0.03,43.23,29.7,174.06,297.05,20.77
0.03,42.54,30.54,171.91,305.41,20.46
0.03,41.7,31.41,182.01,314.1,20.68
0.03,40.56,32.15,175.1,321.48,20.67
0.03,39.54,32.74,174.13,327.38,20.9
0.03,38.31,33.49,177.96,334.92,20.71
0.03,37.07,31.13,173.23,342.46,21.15
-0.04,35.48,31.94,170.54,351.31,21.05
-0.04,34.13,32.5,178.08,357.54,20.42
-0.04,32.59,33.14,171.83,364.59,20.26
-0.04,31.29,33.74,168.15,371.15,21.3
-0.04,29.89,34.17,171.86,375.9,20.95
-0.04,28.69,34.2,175.48,376.23,20.6
-0.04,27.34,34.2,174.13,376.23,20.76
-0.04,26.06,34.2,179.04,376.23,20.44
-0.04,25.02,31.35,177.66,376.23,21
-0.02,23.81,31.38,180.71,376.56,20.72
-0.02,22.89,31.41,178.39,376.89,20.66
-0.02,21.88,31.43,183.2,377.21,20.76
-0.02,21.1,31.45,172.53,377.38,21.09
-0.02,20.25,31.45,173.58,377.38,20.75
-0.02,19.6,31.46,177.35,377.54,20.94
-0.02,18.89,31.48,174.79,377.7,20.68
-0.02,18.32,31.49,182.03,377.87,20.82
-0.02,17.74,29.09,170.6,378.2,20.35
-0.02,17.24,29.12,176.05,378.52,21.11
-0.02,16.83,29.12,176.96,378.52,20.67
-0.02,16.44,29.13,169.2,378.69,20.16
-0.02,16.15,29.14,177.4,378.85,20.63
-0.02,15.76,29.14,173.39,378.85,20.09
-0.02,15.51,29.16,175.49,379.02,20.28
-0.02,15.24,29.16,172.73,379.02,21.12
-0.02,15.02,29.18,170.08,379.34,20.54
-0.02,14.84,27.1,176.1,379.34,21.13
0.01,14.63,27.13,175.58,379.84,21
0.01,14.46,27.32,173.64,382.46,21.07
0.01,14.29,27.51,169.36,385.08,20.34
0.01,14.13,27.59,165.98,386.23,21.33
0.01,14.05,27.61,167.36,386.56,20.44
0.01,14,27.61,173.84,386.56,20.92
0.01,13.95,27.61,179.4,386.56,20.35
0.01,13.85,25.77,168.03,386.56,20.95
0.05,13.8,25.77,166.29,386.56,21.08
0.05,13.75,25.77,171.68,386.56,21.27
0.05,13.7,26,170.51,390,20.82
0.05,13.69,26.46,169.79,396.89,21.01
0.05,13.64,27.04,173.79,405.57,20.34
0.05,13.62,27.39,167.35,410.82,20.42
0.05,13.56,27.66,168.49,414.92,21.14
0.05,13.54,27.93,169.09,419.02,20.35
0.05,13.52,26.23,170.31,419.67,21.14
0.03,13.51,26.29,165.84,420.66,21.31
0.03,13.46,26.32,168.71,421.15,20.52
0.03,13.48,26.35,168.11,421.64,20.79
0.03,13.41,26.47,168.1,423.44,20.48
0.03,13.41,26.69,164.08,427.05,20.74
0.03,13.39,27.07,167.91,433.11,21.28
0.03,13.36,27.09,179,433.44,20.68
0.03,13.37,27.09,168.44,433.44,21.01
0.03,13.37,27.2,160.29,435.25,20.89
0.03,13.4,25.72,164.98,437.21,20.77
0.01,13.34,25.72,174.43,437.21,21.12
0.01,13.35,25.73,167.99,437.38,21.22
0.01,13.37,25.73,167.86,437.38,20.9
0.01,13.37,25.73,171.63,437.38,21.02
0.01,13.37,25.75,165.91,437.7,21.21
0.01,13.39,25.75,164.54,437.7,20.68
0.01,13.36,25.75,172.28,437.7,21.05
0.01,13.34,25.75,168.84,437.7,20.26
0.01,13.35,24.32,164.38,437.7,20.7
-0.04,13.34,24.32,170.04,437.7,21.13
-0.04,13.34,24.32,172.5,437.7,21.14
-0.04,13.35,24.32,174.91,437.7,20.8
-0.04,13.36,24.32,171.98,437.7,21.02
-0.04,13.36,24.32,168.15,437.7,21.18
-0.04,13.39,24.32,167.4,437.7,21.11
-0.04,13.39,24.32,167.63,437.7,20.81
-0.04,13.41,24.41,169.1,439.34,20.8
-0.04,13.42,23.53,171.7,447.05,21.13
